review_group,review_number,trade_id,instrument,direction,entry_price,atr_at_entry,m0_stop_price,m0_target_price,m0_exit_reason,m0_exit_time,m0_net_r,m1_stop_price,m1_target_price,m1_exit_reason,m1_exit_time,m1_net_r,delta_r_m1_minus_m0,phase58d_decision,p4_status,h1_status,15m_context,5m_context,m0_risk_points,m1_risk_points,visual_diagnostic_label,review_status,visual_entry_location,visual_m1_stop_quality,visual_thesis_intact_at_m0_stop,visual_m1_rescue_quality,notes,entry_time,entry_time_utc,entry_time_exchange,exchange_timezone,unix_ms,tradingview_jump_time
A — M0 STOP → M1 TARGET,1,E-061818,NQ,LONG,30686.25,6.446428571428571,30681.415178571428,30698.337053571428,STOP,2026-06-19T09:54:00-05:00,-1.1499538319482596,30679.803571428572,30702.366071428572,TARGET,2026-06-19T10:09:00-05:00,2.4999763688187144,3.649930200766974,TAKE,KEEP,KEEP,BULLISH,BULLISH,4.834821428572468,6.446428571427532,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-19T09:53:00-05:00,2026-06-19T14:53:00+00:00,2026-06-19 09:53:00,America/Chicago,1781880780000,2026-06-19 09:53:00 America/Chicago
A — M0 STOP → M1 TARGET,2,E-061845,NQ,SHORT,30588.75,11.375,30597.28125,30567.421875,STOP,2026-06-22T17:39:00-05:00,-1.084981684981685,30600.125,30560.3125,TARGET,2026-06-22T18:13:00-05:00,2.499976289658612,3.5849579746402966,TAKE,KEEP,KEEP,BEARISH,NEUTRAL,8.53125,11.375,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-22T17:37:00-05:00,2026-06-22T22:37:00+00:00,2026-06-22 17:37:00,America/Chicago,1782167820000,2026-06-22 17:37:00 America/Chicago
A — M0 STOP → M1 TARGET,3,E-061850,NQ,SHORT,30602.25,15.178571428571429,30613.633928571428,30573.790178571428,STOP,2026-06-22T20:11:00-05:00,-1.0636862745098097,30617.428571428572,30564.303571428572,TARGET,2026-06-22T20:18:00-05:00,2.4999762971750434,3.563662571684853,TAKE,KEEP,KEEP,BULLISH,BEARISH,11.383928571427532,15.178571428572468,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-22T20:10:00-05:00,2026-06-23T01:10:00+00:00,2026-06-22 20:10:00,America/Chicago,1782177000000,2026-06-22 20:10:00 America/Chicago
A — M0 STOP → M1 TARGET,4,E-061873,NQ,SHORT,29839.25,16.196428571428573,29851.397321428572,29808.881696428572,STOP,2026-06-23T20:00:00-05:00,-1.059683939728036,29855.446428571428,29798.758928571428,TARGET,2026-06-23T20:03:00-05:00,2.499975689947434,3.55965962967547,TAKE,KEEP,KEEP,TRANSITION,NEUTRAL,12.147321428572468,16.196428571427532,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-23T19:55:00-05:00,2026-06-24T00:55:00+00:00,2026-06-23 19:55:00,America/Chicago,1782262500000,2026-06-23 19:55:00 America/Chicago
A — M0 STOP → M1 TARGET,5,E-061888,NQ,LONG,29805.0,11.196428571428571,29796.602678571428,29825.993303571428,STOP,2026-06-24T05:24:00-05:00,-1.0863370547580966,29793.803571428572,29832.991071428572,TARGET,2026-06-24T05:35:00-05:00,2.4999756660810943,3.586312720839191,TAKE,KEEP,KEEP,NEUTRAL,NEUTRAL,8.397321428572468,11.196428571427532,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-24T05:14:00-05:00,2026-06-24T10:14:00+00:00,2026-06-24 05:14:00,America/Chicago,1782296040000,2026-06-24 05:14:00 America/Chicago
A — M0 STOP → M1 TARGET,6,E-061893,NQ,LONG,29752.75,44.0,29719.75,29835.25,STOP,2026-06-24T09:39:00-05:00,-1.021969696969697,29708.75,29862.75,TARGET,2026-06-24T09:47:00-05:00,2.4999755964151977,3.5219452933848947,TAKE,KEEP,KEEP,BULLISH,NEUTRAL,33.0,44.0,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-24T09:31:00-05:00,2026-06-24T14:31:00+00:00,2026-06-24 09:31:00,America/Chicago,1782311460000,2026-06-24 09:31:00 America/Chicago
B — M1 worse than M0,7,E-061903,NQ,SHORT,29953.5,13.696428571428571,29963.772321428572,29927.819196428572,TARGET,2026-06-24T21:16:00-05:00,2.429421990438947,29967.196428571428,29919.258928571428,STOP,2026-06-24T21:19:00-05:00,-1.0000242152557304,-3.4294462056946773,TAKE,KEEP,KEEP,BEARISH,BEARISH,10.272321428572468,13.696428571427532,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-24T21:13:00-05:00,2026-06-25T02:13:00+00:00,2026-06-24 21:13:00,America/Chicago,1782353580000,2026-06-24 21:13:00 America/Chicago
B — M1 worse than M0,8,E-061914,NQ,LONG,30138.0,9.017857142857142,30131.23660714286,30154.90848214286,TARGET,2026-06-25T04:37:00-05:00,2.392805280528028,30128.98214285714,30160.54464285714,STOP,2026-06-25T05:00:00-05:00,-1.0000240632091906,-3.3928293437372186,TAKE,KEEP,KEEP,BULLISH,BULLISH,6.763392857141298,9.017857142858702,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-25T04:33:00-05:00,2026-06-25T09:33:00+00:00,2026-06-25 04:33:00,America/Chicago,1782379980000,2026-06-25 04:33:00 America/Chicago
A — M0 STOP → M1 TARGET,9,E-061924,NQ,SHORT,29707.5,31.732142857142858,29731.29910714286,29648.00223214286,STOP,2026-06-25T11:36:00-05:00,-1.0304633277058692,29739.23214285714,29628.16964285714,TARGET,2026-06-25T11:45:00-05:00,2.499975569292647,3.530438896998516,TAKE,KEEP,KEEP,BEARISH,NEUTRAL,23.799107142858702,31.732142857141298,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-25T11:33:00-05:00,2026-06-25T16:33:00+00:00,2026-06-25 11:33:00,America/Chicago,1782405180000,2026-06-25 11:33:00 America/Chicago
B — M1 worse than M0,10,E-061927,NQ,LONG,29823.25,30.767857142857142,29800.17410714286,29880.93973214286,TARGET,2026-06-25T13:28:00-05:00,2.4685819307409536,29792.48214285714,29900.16964285714,STOP,2026-06-25T13:33:00-05:00,-1.0000243349982227,-3.4686062657391763,TAKE,KEEP,KEEP,BULLISH,NEUTRAL,23.075892857141298,30.767857142858702,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,,,,,,2026-06-25T13:24:00-05:00,2026-06-25T18:24:00+00:00,2026-06-25 13:24:00,America/Chicago,1782411840000,2026-06-25 13:24:00 America/Chicago
