dimension,bucket,N,wins,losses,win_pct,avg_R,total_R,profit_factor,max_drawdown_R,largest_win_R,largest_loss_R,max_consecutive_wins,max_consecutive_losses
quarter,2025Q3,179,81,97,45.25139664804469,0.1016300060040501,18.19177107472497,1.2011093378391655,9.88374860690756,2.0,-1.0,9,6
quarter,2025Q4,183,77,106,42.076502732240435,-0.01445025925310397,-2.6443974433180264,0.9716831718164589,15.515155390119995,2.0,-1.0,4,8
quarter,2026Q1,176,69,107,39.20454545454545,-0.06746681274376404,-11.87415904290247,0.8727286185342713,29.44021893039618,2.0,-1.0,5,14
quarter,2026Q2,190,82,108,43.1578947368421,0.08305933919936098,15.781274447878587,1.1620462867966557,11.483947590705549,2.0,-1.0,7,7
month,2021-01,48,22,26,45.833333333333336,0.09921766826973359,4.762448076947212,1.1893833126415565,7.515412971678193,2.0,-1.0,4,5
month,2021-02,51,22,29,43.13725490196079,0.07087479004874857,3.614614292486177,1.1436641404152343,6.67053413803324,2.0,-1.0,3,5
month,2021-03,60,29,31,48.333333333333336,0.29584130561071037,17.750478336642622,1.624912764770493,5.67304136938721,2.0,-1.0,5,4
month,2021-04,67,31,36,46.26865671641791,0.17794802415851915,11.922517618620784,1.3671425692500507,5.175527378717682,2.0,-1.0,7,4
month,2021-05,51,26,25,50.98039215686274,0.32369428249813226,16.508408407404744,1.7714938773988258,7.871367329462384,2.0,-1.0,4,4
month,2021-06,63,18,45,28.571428571428573,-0.30044931768880107,-18.928307014394466,0.5481425749222226,20.46556715627831,2.0,-1.0,4,7
month,2021-07,77,37,39,48.05194805194805,0.17365867802589918,13.371718207994236,1.389075327633961,5.485058716801522,2.0,-1.0,4,6
month,2021-08,59,26,33,44.067796610169495,0.2371827856723428,13.993784354668225,1.5103195780654664,5.9878998960109024,2.0,-1.0,4,5
month,2021-09,79,37,42,46.835443037974684,0.1144697692226364,9.043111768588275,1.2369036703725367,7.595511874091288,2.0,-1.0,7,6
month,2021-10,64,24,40,37.5,-0.12348178194833136,-7.902834044693207,0.7871302142375224,9.4686684375557,2.0,-1.0,4,7
month,2021-11,71,28,43,39.436619718309856,-0.07194267441203468,-5.107929883254462,0.8734614827709529,12.862907162358598,2.0,-1.0,5,6
month,2021-12,74,18,55,24.324324324324323,-0.32726987425920767,-24.217970695181368,0.49359315999233644,24.217970695181368,2.0,-1.0,4,11
month,2022-01,57,19,38,33.333333333333336,-0.1133437653085634,-6.460594622588114,0.7959631635830083,13.923416038831611,2.0,-1.0,3,9
month,2022-02,64,26,37,40.625,0.03040680081484612,1.9460352521501516,1.0634784149883665,4.506156050356909,2.0,-1.0,3,5
month,2022-03,62,29,33,46.774193548387096,0.19493386377537156,12.085899554073036,1.4132156650178953,4.40842376696046,2.0,-1.0,5,5
month,2022-04,59,17,42,28.8135593220339,-0.2654563357364749,-15.661923808452022,0.5732850909242171,15.661923808452023,2.0,-1.0,2,7
month,2022-05,55,27,28,49.09090909090909,0.2916918264341458,16.04305045387802,1.6765885838769365,4.627532872433761,2.0,-1.0,4,6
month,2022-06,59,27,32,45.76271186440678,0.05147373749691835,3.0369505123181826,1.1156091790852933,10.590497681572707,2.0,-1.0,5,6
month,2022-07,72,26,46,36.111111111111114,-0.10440131427918538,-7.516894628101348,0.8181772393744461,13.228834906973573,2.0,-1.0,3,10
month,2022-08,71,31,40,43.66197183098591,0.0012869158652199625,0.09137102643061734,1.0025618714718694,9.990808630606912,2.0,-1.0,4,6
month,2022-09,57,22,35,38.59649122807018,-0.08219928556648537,-4.685359277289666,0.8577364919856465,12.500290977828628,2.0,-1.0,3,6
month,2022-10,65,25,40,38.46153846153846,-0.17690612161203784,-11.49889790478246,0.688163677257879,17.203393978592306,2.0,-1.0,5,6
month,2022-11,64,32,32,50.0,0.1854350283370772,11.86784181357294,1.405090445394719,7.741338588402913,2.0,-1.0,7,5
month,2022-12,69,31,38,44.927536231884055,-0.023935420254430934,-1.6515439975557344,0.947962602553453,8.653661432282682,2.0,-1.0,5,5
month,2023-01,63,34,29,53.96825396825397,0.28243455414423013,17.793376911086497,1.7524508023827872,4.26098304333739,2.0,-1.0,5,4
month,2023-02,59,25,34,42.3728813559322,-0.0031322651238502816,-0.18480364230716662,0.993932942006052,10.760404515259276,2.0,-1.0,3,6
month,2023-03,73,33,40,45.205479452054796,0.071633863371473,5.2292720261175285,1.1421092322277284,10.376959446754327,2.0,-1.0,5,4
month,2023-04,48,21,27,43.75,-0.0068593654563933555,-0.32924954190688105,0.9870290414571873,10.970928110673384,2.0,-1.0,4,5
month,2023-05,67,28,39,41.791044776119406,0.035342823874643714,2.367969199601129,1.0734452195457607,12.834269122792966,2.0,-1.0,6,8
month,2023-06,64,31,33,48.4375,0.17528390188136145,11.218169720407133,1.3882595741471735,4.337725835260397,2.0,-1.0,3,4
month,2023-07,53,21,32,39.62264150943396,0.024000357482084157,1.2720189465504603,1.0438075202020454,9.72404435604314,2.0,-1.0,4,5
month,2023-08,78,32,46,41.02564102564103,-0.053605547454485265,-4.181232701449851,0.8976145446454189,7.389977476813459,2.0,-1.0,4,5
month,2023-09,68,28,40,41.1764705882353,0.01767326407105557,1.2017819568317787,1.0350921414908723,8.147290980371722,2.0,-1.0,4,5
month,2023-10,66,26,39,39.39393939393939,-0.04207488876311024,-2.7769426583652757,0.9223963639403893,14.290724507948859,2.0,-1.0,5,10
month,2023-11,70,19,51,27.142857142857142,-0.25381713450652377,-17.767199415456663,0.5723678178155256,22.21804139178262,2.0,-1.0,3,18
month,2023-12,56,22,34,39.285714285714285,-0.07672534362394594,-4.296619242940973,0.855185363289298,9.036678251016916,2.0,-1.0,4,5
month,2024-01,66,29,37,43.93939393939394,-0.004625429376495635,-0.3052783388487119,0.9910924080445963,10.550427569849576,2.0,-1.0,9,9
month,2024-02,64,27,37,42.1875,-0.008411589797603182,-0.5383417470466036,0.9837157680135101,7.533587637299952,2.0,-1.0,5,5
month,2024-03,56,28,28,50.0,0.24212141015774782,13.558798968833878,1.5684448784647977,5.997974619234143,2.0,-1.0,6,4
month,2024-04,75,29,46,38.666666666666664,-0.12130804960747578,-9.098103720560683,0.7854841030833535,16.368339653614292,2.0,-1.0,5,8
month,2024-05,79,30,49,37.9746835443038,-0.037286150060305424,-2.9456058547641284,0.9325936545908564,17.58023201263804,2.0,-1.0,4,9
month,2024-06,61,25,36,40.98360655737705,-0.07650550072516996,-4.666835544235368,0.852590737489267,8.116175543967861,2.0,-1.0,3,8
month,2024-07,81,30,51,37.03703703703704,-0.12454675076066812,-10.088286811614118,0.7804716671722977,18.077144068473135,2.0,-1.0,3,9
month,2024-08,60,25,35,41.666666666666664,-0.09004403637515397,-5.402642182509238,0.8316980878764989,8.476402989684393,2.0,-1.0,3,6
month,2024-09,59,24,35,40.67796610169491,0.12268974009342623,7.238694665512147,1.2540767070162007,7.1297499067086605,2.0,-1.0,5,8
month,2024-10,73,37,36,50.68493150684932,0.1288116115880859,9.403247645930271,1.2776455512236724,6.127460946989534,2.0,-1.0,7,4
month,2024-11,52,23,29,44.23076923076923,0.0012162195096060947,0.06324341449951693,1.0025016027860427,4.300626724309,2.0,-1.0,3,3
month,2024-12,56,28,28,50.0,0.12728319440964297,7.127858886940007,1.2793650618810266,7.141386437412125,2.0,-1.0,5,6
month,2025-01,56,15,41,26.785714285714285,-0.1758345410509508,-9.846734298853246,0.7138664275824202,17.10327333075885,2.0,-1.0,3,16
month,2025-02,61,24,37,39.34426229508197,-0.02538818738296896,-1.5486794303611067,0.9523007592636143,9.2014227153034,2.0,-1.0,5,6
month,2025-03,63,24,39,38.095238095238095,-0.11226073300603882,-7.072426179380446,0.8026436173586537,11.007454167219684,2.0,-1.0,4,7
month,2025-04,58,31,27,53.44827586206897,0.36234813885974054,21.016192053864952,1.9754933206879124,5.20155834711165,2.0,-1.0,5,6
month,2025-05,72,28,44,38.888888888888886,-0.057668284173649234,-4.152116460502745,0.9014814829113691,10.293601356586748,2.0,-1.0,4,7
month,2025-06,47,13,34,27.659574468085108,-0.3385438695713254,-15.911561869852292,0.4658362765000121,19.640115337895732,2.0,-1.0,2,9
month,2025-07,47,23,24,48.93617021276596,0.2526107794371514,11.872706633546114,1.529144119443098,4.933390488485454,2.0,-1.0,5,5
month,2025-08,66,29,36,43.93939393939394,0.059731869951212574,3.94230341678003,1.121225780046182,7.874418808812846,2.0,-1.0,4,6
month,2025-09,66,29,37,43.93939393939394,0.03601153067270947,2.3767610243988253,1.0669525004912181,9.307583939762225,2.0,-1.0,5,4
month,2025-10,50,23,27,46.0,0.023324167296945152,1.1662083648472577,1.048759991518796,5.440929642155924,2.0,-1.0,3,4
month,2025-11,61,25,36,40.98360655737705,0.03473240310653213,2.11867658949846,1.066516132196813,9.877711772646128,2.0,-1.0,4,6
