trade_id,baseline_trade_id,model_id,direction,entry_ts,entry_i,sig_i,entry_type,reason_code,m15_state,m15_extension_atr,m1_extension_up_atr,m1_extension_down_atr,pullback_depth_atr,net_R,gross_R,cost_R,net_R_2x_cost,MFE_R,MAE_R,duration_min,exit_reason,recovered,year,session,diag_label
P60-000001,P60-000001,P5,SHORT,2017-10-01 19:07:00-05:00,127,122,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-2.0,0.0,3.0434782608695654,0.6086956521739131,2.4998790222855254,2.5,0.0001209777144746127,2.4997580445710508,2.6486486486486487,0.0,1.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000002,P60-000002,P5,SHORT,2017-10-01 21:18:00-05:00,256,253,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-1.5555555555555554,3.1111111111111107,3.1111111111111107,2.333333333333333,2.4998789580855103,2.5,0.00012104191448969459,2.4997579161710206,5.894736842105263,0.7368421052631579,10.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000003,P60-000003,P5,LONG,2017-10-01 22:19:00-05:00,316,313,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,-0.7777777777777777,2.2105263157894735,2.2105263157894735,2.2105263157894735,2.499878979372839,2.5,0.000121020627160906,2.499757958745678,2.625,0.0,1.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000004,P60-000004,P5,LONG,2017-10-01 22:53:00-05:00,350,342,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,0.0,3.9375,1.3125,1.3125,-1.0001210411929973,-1.0000000000002347,0.00012104119276257208,-1.0002420823857598,0.9032258064516129,1.3548387096774193,5.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000006,P60-000006,P5,LONG,2017-10-02 00:44:00-05:00,450,442,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,3.5,2.8,-0.7,0.0,-1.0001210065588373,-0.9999999999988511,0.00012100655998614762,-1.0002420131188234,0.0,3.6842105263157894,3.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000007,P60-000007,P5,LONG,2017-10-02 01:16:00-05:00,480,475,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,-2.3333333333333335,2.5,2.5,0.5,-1.00012101341312,-1.0000000000003033,0.00012101341281667288,-1.0002420268259367,0.0,1.75,1.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000008,P60-000008,P5,SHORT,2017-10-02 01:45:00-05:00,508,500,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-2.1538461538461537,0.0,3.230769230769231,0.0,2.499878953394075,2.5,0.00012104660592493488,2.49975790678815,3.1111111111111107,0.7777777777777777,6.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000009,P60-000009,P5,SHORT,2017-10-02 02:31:00-05:00,554,552,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,0.0,0.0,3.7058823529411766,0.0,-1.0001210928183712,-1.000000000000428,0.00012109281794314697,-1.0002421856363144,0.823529411764706,1.647058823529412,3.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000010,P60-000010,P5,SHORT,2017-10-02 03:53:00-05:00,635,626,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,0.0,0.0,7.0,0.0,-1.0001211524404419,-1.0000000000002347,0.00012115244020716176,-1.000242304880649,1.3548387096774193,1.3548387096774193,11.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000011,P60-000011,P5,LONG,2017-10-02 06:41:00-05:00,803,799,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,7.538461538461538,5.95,-0.7,0.0,-1.0001209085416798,-1.000000000000355,0.00012090854132473794,-1.0002418170830045,0.0,1.024390243902439,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000012,P60-000012,P5,LONG,2017-10-02 13:35:00-05:00,1217,1215,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,1.4,5.808510638297872,1.3404255319148937,1.3404255319148937,-1.0001211271388162,-1.000000000000072,0.00012112713874423697,-1.0002422542775604,0.0,1.386138613861386,1.0,INITIAL_STOP,True,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000013,P60-000013,P5,SHORT,2017-10-02 14:25:00-05:00,1267,1260,RESET_SHORT,WAIT_FOR_RESET,15M_BEARISH,-1.1666666666666667,1.3023255813953487,3.4186046511627906,1.3023255813953487,-1.0001212313038765,-0.9999999999999234,0.00012123130395313986,-1.0002424626078297,0.2947368421052632,1.1789473684210527,1.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000014,P60-000014,P5,LONG,2017-10-02 14:33:00-05:00,1275,1274,CONTINUATION_LONG,TAKE_LONG_15M_SOFT,15M_NEUTRAL,-0.3010752688172043,0.1590909090909091,1.75,1.75,-1.0001212334759668,-1.0,0.00012123347596680711,-1.0002424669519336,0.1609195402298716,1.1264367816091012,1.0,STOP,False,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000015,P60-000015,P5,SHORT,2017-10-02 19:19:00-05:00,1478,1466,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,2.3333333333333335,2.9473684210526314,1.4736842105263157,2.2105263157894735,2.499878764713962,2.5,0.00012123528603780187,2.4997575294279244,3.8181818181818183,0.6363636363636364,2.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000016,P60-000016,P5,LONG,2017-10-02 23:20:00-05:00,1714,1707,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,2.2399999999999998,3.8888888888888884,2.333333333333333,2.333333333333333,-1.0001209604140027,-1.0000000000002347,0.00012096041376796762,-1.0002419208277706,0.0,1.8064516129032258,1.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000017,P60-000017,P5,LONG,2017-10-03 00:17:00-05:00,1769,1763,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,6.0,4.8999999999999995,0.0,0.7,2.499879027692528,2.5,0.00012097230747221133,2.4997580553850556,2.5454545454545454,0.6363636363636364,14.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000018,P60-000018,P5,SHORT,2017-10-03 02:57:00-05:00,1927,1920,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-2.9696969696969697,0.0,4.355555555555555,0.0,-1.0001210744009277,-0.9999999999998135,0.0001210744011141962,-1.0002421488020419,2.1538461538461537,2.5128205128205128,3.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000020,P60-000020,P5,SHORT,2017-10-03 06:39:00-05:00,2145,2141,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,1.647058823529412,1.1666666666666667,4.083333333333334,1.1666666666666667,-1.0001211755819337,-0.9999999999997089,0.0001211755822247973,-1.0002423511641585,0.0,2.2399999999999998,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000021,P60-000021,P5,LONG,2017-10-03 08:15:00-05:00,2241,2235,RESET_LONG,WAIT_FOR_RESET,15M_TRANSITION_UP,1.4893617021276595,2.8,3.2,0.8,2.4998789851443832,2.5,0.0001210148556167745,2.4997579702887665,2.5,0.5,10.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000022,P60-000022,P5,SHORT,2017-10-03 10:13:00-05:00,2359,2353,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-0.7716535433070867,0.24137931034482757,2.413793103448276,0.24137931034482757,-1.000121099319398,-1.0000000000000597,0.00012109931933834694,-1.0002421986387364,0.0,1.2622950819672132,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000023,P60-000023,P5,LONG,2017-10-03 10:34:00-05:00,2380,2364,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,0.3333333333333333,2.2222222222222223,0.8888888888888888,0.2222222222222222,-1.0001209550085657,-1.0000000000002538,0.00012095500831188488,-1.0002419100168776,0.0,3.4186046511627906,2.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000024,P60-000024,P5,LONG,2017-10-03 15:33:00-05:00,2664,2661,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,-0.24137931034482757,3.0545454545454547,0.5090909090909091,0.5090909090909091,-1.0001208711055538,-1.0,0.00012087110555381031,-1.0002417422111076,0.5714285714285714,1.1428571428571428,10.0,INITIAL_STOP,True,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000025,P60-000025,P5,SHORT,2017-10-03 17:08:00-05:00,2699,2697,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-4.516129032258064,1.346153846153846,3.5,1.346153846153846,1.0768021392089784,1.0769230769230769,0.00012093771409849019,1.07668120149488,2.1538461538461537,0.0,60.0,MAX_HOLD,True,2017,RTH,AMBIGUOUS
P60-000027,P60-000027,P5,SHORT,2017-10-03 19:53:00-05:00,2857,2847,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-2.8000000000000003,0.0,6.533333333333333,0.0,-1.0001209964613438,-0.9999999999988511,0.00012099646249263962,-1.0002419929238364,0.0,1.4736842105263157,1.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000028,P60-000028,P5,LONG,2017-10-03 21:53:00-05:00,2971,2961,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,5.384615384615384,5.333333333333333,0.0,0.6666666666666666,-1.0001209243855471,-0.9999999999990299,0.00012092438651722937,-1.0002418487720643,0.0,1.8666666666666667,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000029,P60-000029,P5,LONG,2017-10-03 22:43:00-05:00,3016,3014,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,2.8,4.375,1.75,1.75,-1.0001209002598588,-0.9999999999995957,0.00012090026026312373,-1.000241800520122,0.7777777777777777,1.5555555555555554,6.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000031,P60-000031,P5,SHORT,2017-10-04 00:27:00-05:00,3108,3098,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,0.7368421052631579,1.4736842105263157,1.4736842105263157,0.7368421052631579,-1.0001209488838316,-1.0000000000011193,0.00012094888271230175,-1.000241897766544,2.1538461538461537,2.1538461538461537,3.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000032,P60-000032,P5,LONG,2017-10-04 01:57:00-05:00,3196,3182,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,4.666666666666667,5.833333333333334,2.3333333333333335,2.3333333333333335,2.4998790982996337,2.5,0.00012090170036627157,2.4997581965992675,3.5,0.0,1.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000033,P60-000033,P5,LONG,2017-10-04 02:46:00-05:00,3245,3240,RESET_LONG,WAIT_FOR_RESET,15M_TRANSITION_UP,0.9032258064516129,2.1,1.4,1.4,-1.0001209276283942,-1.0000000000003033,0.00012092762809090551,-1.0002418552564851,0.0,1.1666666666666667,2.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000034,P60-000034,P5,SHORT,2017-10-04 03:14:00-05:00,3273,3269,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,-1.68,0.9655172413793103,2.413793103448276,0.0,2.499879061565408,2.5,0.00012093843459215492,2.4997581231308157,3.230769230769231,0.5384615384615384,44.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000035,P60-000035,P5,SHORT,2017-10-04 04:09:00-05:00,3324,3316,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,1.75,1.647058823529412,1.647058823529412,1.647058823529412,-1.0001209838421556,-0.9999999999991604,0.0001209838429951926,-1.0002419676851508,0.0,1.6153846153846154,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000036,P60-000036,P5,SHORT,2017-10-04 06:29:00-05:00,3464,3455,RESET_SHORT,WAIT_FOR_RESET,15M_BEARISH,-0.9655172413793103,0.0,2.692307692307692,0.0,2.4998789952432614,2.5,0.00012100475673859634,2.499757990486523,4.0,0.0,2.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000037,P60-000037,P5,SHORT,2017-10-04 07:59:00-05:00,3554,3548,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_UP,0.0,0.8936170212765957,2.0851063829787235,0.8936170212765957,-1.000121130752947,-1.000000000000355,0.00012113075259190254,-1.0002422615055389,1.024390243902439,1.3658536585365855,2.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000038,P60-000038,P5,SHORT,2017-10-04 08:28:00-05:00,3583,3577,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-3.422222222222222,-1.05,4.55,0.35,-1.0001211415951736,-0.9999999999997448,0.00012114159542886416,-1.0002422831906026,1.2280701754385965,2.210526315789474,2.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000039,P60-000039,P5,LONG,2017-10-04 08:49:00-05:00,3604,3591,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,6.406779661016949,3.4477611940298507,0.6268656716417911,0.7313432835820896,0.4646090569804647,0.4647302904564315,0.00012123347596681988,0.46448782350449785,2.4979253112033195,0.871369294605809,60.0,MAX_HOLD,True,2017,ETH,AMBIGUOUS
P60-000040,P60-000040,P5,SHORT,2017-10-04 09:01:00-05:00,3616,3600,RESET_SHORT,WAIT_FOR_RESET,15M_BEARISH,0.12173913043478261,0.702928870292887,2.7531380753138075,0.8786610878661087,-1.0001211361737679,-1.0,0.00012113617376785513,-1.0002422723475357,0.38461538461538464,1.0,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000041,P60-000041,P5,SHORT,2017-10-04 09:30:00-05:00,3645,3637,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,-0.7486631016042781,0.21212121212121213,2.3333333333333335,0.21212121212121213,-1.000121086678434,-1.0000000000000564,0.00012108667837762432,-1.0002421733568116,0.6511627906976745,1.6279069767441863,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000042,P60-000042,P5,SHORT,2017-10-04 14:15:00-05:00,3930,3923,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-1.4000000000000001,0.23728813559322035,2.6101694915254234,0.23728813559322035,-1.0001208207478387,-1.0,0.00012082074783870134,-1.0002416414956774,0.0,1.1428571428571428,3.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000043,P60-000043,P5,LONG,2017-10-04 14:33:00-05:00,3948,3940,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,2.692307692307692,3.5,0.0,0.0,2.4998791619913865,2.5,0.0001208380086135108,2.499758323982773,4.581818181818182,0.2545454545454546,2.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000044,P60-000044,P5,LONG,2017-10-04 15:39:00-05:00,3999,3994,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,1.3023255813953487,4.666666666666667,-0.358974358974359,0.0,2.4998792457319614,2.5,0.00012075426803859202,2.499758491463923,3.0625,0.0,11.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000045,P60-000045,P5,LONG,2017-10-04 17:53:00-05:00,4071,4061,RESET_LONG,WAIT_FOR_RESET,15M_TRANSITION_UP,7.777777777777777,7.0,-1.0,3.0,2.499879252196361,2.5,0.0001207478036389098,2.499758504392722,3.0,0.0,4.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000046,P60-000046,P5,LONG,2017-10-04 19:07:00-05:00,4139,4123,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,2.3333333333333335,2.625,2.625,0.0,-1.0001207474456455,-1.0000000000011193,0.00012074744452617026,-1.0002414948901717,0.0,2.1538461538461537,1.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000047,P60-000047,P5,SHORT,2017-10-04 19:41:00-05:00,4173,4164,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-7.0,1.0,10.0,1.0,-1.000120805289976,-1.0000000000007276,0.00012080528924829359,-1.0002416105792242,0.7,1.4,1.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000048,P60-000048,P5,LONG,2017-10-04 20:53:00-05:00,4239,4237,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,5.090909090909091,9.333333333333334,-1.1666666666666667,1.1666666666666667,-1.0001207578596711,-1.0,0.00012075785967113895,-1.0002415157193423,0.0,2.0,1.0,INITIAL_STOP,True,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000049,P60-000049,P5,LONG,2017-10-04 21:27:00-05:00,4270,4268,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,6.222222222222221,2.9473684210526314,2.9473684210526314,2.9473684210526314,-1.000120710108431,-1.0,0.00012071010843106578,-1.0002414202168621,0.0,2.0,1.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000051,P60-000051,P5,SHORT,2017-10-05 00:01:00-05:00,4397,4383,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-1.75,3.1111111111111107,7.777777777777777,1.5555555555555554,2.4998792748163106,2.5,0.00012072518368944074,2.499758549632621,4.0,0.0,1.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000052,P60-000052,P5,LONG,2017-10-05 02:04:00-05:00,4508,4505,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,7.777777777777777,4.666666666666666,0.0,1.5555555555555554,-1.0001207521123223,-0.9999999999991604,0.00012075211316187051,-1.0002415042254842,1.0769230769230769,1.0769230769230769,1.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000053,P60-000053,P5,SHORT,2017-10-05 04:46:00-05:00,4669,4668,CONTINUATION_SHORT,TAKE_SHORT_15M_SOFT,15M_NEUTRAL,0.823529411764706,5.25,0.0,1.75,-1.00012070795513,-1.0,0.00012070795512993942,-1.00024141591026,1.8666666666684775,2.8000000000027163,1.0,STOP,False,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000054,P60-000054,P5,LONG,2017-10-05 07:17:00-05:00,4818,4816,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,0.6363636363636364,4.463768115942028,1.6231884057971013,1.6231884057971013,-1.0001204011787803,-0.999999999999679,0.00012040117910128156,-1.0002408023578817,0.0,1.0294117647058825,2.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000055,P60-000055,P5,SHORT,2017-10-05 09:46:00-05:00,4967,4955,RESET_SHORT,WAIT_FOR_RESET,15M_NEUTRAL,-0.9767441860465117,1.5555555555555554,3.208333333333333,1.5555555555555554,2.4998796445066316,2.5,0.00012035549336841811,2.499759289013263,2.573529411764706,0.0,4.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000056,P60-000056,P5,SHORT,2017-10-05 10:14:00-05:00,4995,4990,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-1.129032258064516,-0.34710743801652894,3.2396694214876036,0.11570247933884298,-1.000120453688905,-0.9999999999997882,0.00012045368911683951,-1.0002409073780218,1.2233009708737865,1.087378640776699,5.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000057,P60-000057,P5,LONG,2017-10-05 14:55:00-05:00,5276,5266,RESET_LONG,WAIT_FOR_RESET,15M_TRANSITION_UP,0.6292134831460674,2.891304347826087,-0.4565217391304348,0.15217391304347827,2.499880324597422,2.5,0.00011967540257806775,2.499760649194844,4.320987654320988,0.345679012345679,9.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000058,P60-000058,P5,LONG,2017-10-05 19:02:00-05:00,5441,5435,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,2.5454545454545454,2.1538461538461537,2.1538461538461537,2.1538461538461537,-1.0001195781180012,-0.9999999999990299,0.00011957811897134185,-1.0002391562369726,0.0,1.8666666666666667,1.0,INITIAL_STOP,True,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000059,P60-000059,P5,LONG,2017-10-05 20:02:00-05:00,5500,5493,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,0.7777777777777777,2.1538461538461537,1.0769230769230769,1.0769230769230769,2.4998804468813125,2.5,0.00011955311868749874,2.499760893762625,3.0,0.0,9.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000060,P60-000060,P5,SHORT,2017-10-05 20:36:00-05:00,5532,5529,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-3.5,2.4705882352941178,4.11764705882353,2.4705882352941178,-1.0001195707227708,-0.9999999999993385,0.00011957072343227182,-1.000239141446203,0.0,3.181818181818182,1.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000061,P60-000061,P5,LONG,2017-10-05 23:37:00-05:00,5703,5699,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,0.0,2.0,6.0,2.0,-1.0001195063152906,-1.0,0.00011950631529056288,-1.0002390126305811,0.0,4.0,1.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000062,P60-000062,P5,SHORT,2017-10-06 00:18:00-05:00,5733,5720,RESET_SHORT,WAIT_FOR_RESET,15M_BEARISH,0.0,2.5454545454545454,1.2727272727272727,1.2727272727272727,-1.000119508427052,-1.0000000000011193,0.00011950842593266842,-1.0002390168529847,2.1538461538461537,2.1538461538461537,7.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000063,P60-000063,P5,LONG,2017-10-06 00:22:00-05:00,5737,5730,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,1.4,7.636363636363637,-1.2727272727272727,0.0,2.499880488056165,2.5,0.00011951194383508223,2.49976097611233,4.666666666666666,0.0,3.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000065,P60-000065,P5,LONG,2017-10-06 02:50:00-05:00,5878,5864,RESET_LONG,WAIT_FOR_RESET,15M_TRANSITION_UP,1.024390243902439,2.4499999999999997,0.7,0.7,-1.0001195151098972,-0.9999999999997726,0.00011951511012453508,-1.0002390302200217,1.3125,2.1875,13.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000066,P60-000066,P5,SHORT,2017-10-06 03:20:00-05:00,5908,5899,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-6.758620689655172,1.75,5.6,1.75,-1.0001195573428077,-0.9999999999994543,0.00011955734335333812,-1.0002391146861611,0.7,1.05,9.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000067,P60-000067,P5,SHORT,2017-10-06 03:46:00-05:00,5934,5930,RESET_SHORT,WAIT_FOR_RESET,15M_BEARISH,-2.413793103448276,1.1199999999999999,4.4799999999999995,1.1199999999999999,-1.0001195626251447,-1.000000000000539,0.00011956262460577349,-1.0002391252497504,0.0,1.037037037037037,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000068,P60-000068,P5,SHORT,2017-10-06 09:39:00-05:00,6287,6285,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-5.102803738317757,-0.4786324786324786,5.504273504273504,1.435897435897436,-1.0001198853117435,-1.0000000000000564,0.0001198853116870513,-1.0002397706234305,0.7596899224806202,1.0852713178294575,3.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000069,P60-000069,P5,SHORT,2017-10-06 10:00:00-05:00,6308,6305,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-3.282758620689655,0.7320261437908496,3.843137254901961,0.7320261437908496,-1.0001199451678808,-0.9999999999999576,0.00011994516792324106,-1.000239890335804,0.0,1.3837209302325582,1.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000070,P60-000070,P5,SHORT,2017-10-06 10:43:00-05:00,6351,6348,RESET_SHORT,WAIT_FOR_RESET,15M_EXTENDED_DOWN,-2.3578947368421055,0.0,2.871794871794872,0.1794871794871795,-1.000119775671231,-0.999999999999853,0.00011977567137799738,-1.000239551342609,1.696969696969697,1.1313131313131313,3.0,INITIAL_STOP,True,2017,ETH,LATE_EXTENSION
P60-000071,P60-000071,P5,LONG,2017-10-06 11:04:00-05:00,6372,6358,RESET_LONG,WAIT_FOR_RESET,15M_BULLISH,1.2233009708737865,3.169811320754717,0.1320754716981132,0.2641509433962264,2.499880252943536,2.5,0.00011974705646400352,2.499760505887072,2.8636363636363638,0.4772727272727273,3.0,FIXED_TARGET,True,2017,ETH,GOOD_ENTRY
P60-000072,P60-000072,P5,LONG,2017-10-06 11:22:00-05:00,6390,6386,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,0.1308411214953271,1.8762886597938144,1.2989690721649485,0.5773195876288659,-1.0001197043364212,-1.0000000000002347,0.00011970433618646581,-1.0002394086726076,0.0,1.6559139784946235,1.0,INITIAL_STOP,True,2017,ETH,GOOD_DIRECTION_BAD_TIMING
P60-000073,P60-000073,P5,LONG,2017-10-06 13:06:00-05:00,6494,6491,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,-0.22580645161290322,1.1864406779661016,1.1864406779661016,1.1864406779661016,2.4998803767836675,2.5,0.0001196232163325206,2.499760753567335,3.084745762711864,0.0,1.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000074,P60-000074,P5,SHORT,2017-10-06 14:26:00-05:00,6574,6569,RESET_SHORT,WAIT_FOR_RESET,15M_TRANSITION_DOWN,-0.6363636363636364,1.2727272727272727,1.5272727272727273,0.2545454545454546,-1.000119670111468,-1.0000000000001101,0.00011967011135793904,-1.000239340222826,2.121212121212121,1.4848484848484849,12.0,INITIAL_STOP,True,2017,RTH,LATE_EXTENSION
P60-000075,P60-000075,P5,LONG,2017-10-06 15:52:00-05:00,6645,6642,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,0.7567567567567568,1.707317073170732,1.024390243902439,1.024390243902439,-1.0001195481902878,-1.0,0.00011954819028781039,-1.0002390963805756,1.6666666666666667,7.666666666666667,7.0,INITIAL_STOP,True,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000076,P60-000076,P5,LONG,2017-10-08 18:20:00-05:00,6728,6727,CONTINUATION_LONG,TAKE_LONG_15M_SOFT,15M_NEUTRAL,0.0,0.0,2.4705882352941178,2.4705882352941178,-1.0001194992803553,-1.0,0.00011949928035531903,-1.0002389985607105,0.9333333333342387,1.8666666666684775,2.0,STOP,False,2017,RTH,GOOD_DIRECTION_BAD_TIMING
P60-000077,P60-000077,P5,LONG,2017-10-08 18:58:00-05:00,6765,6757,RESET_LONG,WAIT_FOR_RESET,15M_EXTENDED_UP,14.0,8.0,-1.0,0.0,2.4998805295542224,2.5,0.00011947044577764743,2.4997610591084447,4.9411764705882355,0.0,6.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
P60-000078,P60-000078,P5,LONG,2017-10-08 20:04:00-05:00,6831,6829,RESET_LONG,WAIT_FOR_RESET,15M_NEUTRAL,-1.0769230769230769,4.11764705882353,1.2352941176470589,1.2352941176470589,2.4998806422973123,2.5,0.00011935770268767243,2.4997612845946247,2.625,0.4375,10.0,FIXED_TARGET,True,2017,RTH,GOOD_ENTRY
